payee,mn_count,power
3S3Sr5TR6cNwyaHysBDmpsYVJRhxzWR6tX,1,0.036670334
3exfuGkWbuiomswc3mKns2J7xAcErDHwVW,1,0.036670334
3owjk91cnVbdTwgR1kkP6Ts55Uhapp5d78,1,0.036670334
3aSLTjhasM11x5iAKk8jyjBmD9pLVucHpA,1,0.036670334
3kokUnPv4tiDmDV5LtLqfLVwDJP8Eq1VFp,1,0.036670334
3h6AxKxqnpzJSSruceRbzMtk2B1CEzprCo,1,0.036670334
3WNPgwT9BScjS5PXLBrUTEMg6gzXyqemTX,1,0.036670334
3b8h7ZBv7zip4icgLr4iu3maAZ6dTthcN6,1,0.036670334
3mq4AfsLhHrZ1WAKSSVGw9WAQeTxowjThd,1,0.036670334
3h5GMya59PdFYMw5v1bvKGik1ZvVP88xRm,1,0.036670334
3TumdfPV4KAMvVsbedJhvK3mX2cbsZTrBC,1,0.036670334
3aPsjj1XquTyvqjrJEsquaLjnZwox7C4Gz,1,0.036670334
3kS2wpZ2qbEwSRjricqgqiptwNwuxJoWKM,1,0.036670334
3jkA1zHxQNdfQHF1mLZG7JrcvKuDpE7xDc,1,0.036670334
3exhEKmYDSVTMGLQbGvEKcBi1fFrR6efVp,1,0.036670334
3ngMuSzhAwvtWZvmEza4JmN8vofJLEQNeS,1,0.036670334
3SZ6SKe2tgP2wnYtESH988N9SbCt8AoBvG,1,0.036670334
3fF3ob22FmdqaqCQwMxZFLTtHJ3FXEEDDJ,1,0.036670334
3avNNVm75dbd5ZH1EDvXHGwJfPw73bJK16,1,0.036670334
3ifYmsgw7ahPZ2jpUwREreEhRUaDyQGhBg,1,0.036670334
3axBMFErnEHe62nxLp5ETHWRXsuU7UY69R,1,0.036670334
3UDJXV4Li3QhY6HQ1d5QX7jWzxoZGsFWwf,1,0.036670334
3SuyLHcnNQ1UiL99KJfLbjPr39aECz5o7h,1,0.036670334
3Vg4pLqz8PAxWyr6ruSKiX5tVf2TTKN6q6,1,0.036670334
3VASuWbtAiH5b9iByt5ehiUUzH2FnMZpqZ,1,0.036670334
3mf5ptcbCfSDkinJm8MEwQ6ynobXRbcfYS,1,0.036670334
3TnWN8VHxW2KMVQzBNiERSmChRV2seJBa5,1,0.036670334
3mznLuR8Q7UdLTypqFGcXjB4jbKnbEQxz2,1,0.036670334
3ZVW8dQJdeNPy5p1H1SGXf9h7tR2zmhdmz,1,0.036670334
3S6YXiZCjNQaEqUh8hEQ7rwFxP29xeFwLb,1,0.036670334
3jTUWdtHaJpx1Nz38yBSks2muVUGixFSva,1,0.036670334
3iPaCokVoqFujmRtmA3ypjV7d99rwhkUPL,1,0.036670334
3SWcxkZGXCcmfRPR2KyyABqEVPP2tae6E9,1,0.036670334
3n3jYJ9HRquLXgWrAJypdfAexJQ58EC19M,1,0.036670334
3XuaxeuoMBk78SfGJJ2bKmyuWnqhk32AYy,1,0.036670334
